resigned,department,bracket_salary,salary,region,termination_date,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,promotion_last_5years,Rand
0,technical,"low, 52000",52000,US,2015-06-27T00:00:00Z,0.82,0.63,4,232,4,0,0,1236
0,product_mng,"low, 36000",36000,Europe,2017-02-24T00:00:00Z,0.72,0.79,4,154,3,0,0,1846
0,sales,"medium, 77000",77000,Canada,2008-12-06T00:00:00Z,0.71,0.88,3,140,2,0,0,910
0,support,"medium, 70000",70000,US,2015-11-22T00:00:00Z,0.53,0.75,4,239,2,1,0,1356
0,technical,"medium, 76000",76000,US,2009-03-29T00:00:00Z,0.49,0.49,2,245,3,0,0,1573
1,RandD,"medium, 84000",84000,Canada,2015-02-06T00:00:00Z,0.41,0.48,2,148,3,0,0,1673
0,sales,"medium, 76000",76000,US,2017-08-15T00:00:00Z,1,0.87,3,165,2,0,0,831
1,technical,"low, 32000",32000,US,2014-08-01T00:00:00Z,0.09,0.97,7,268,4,0,0,1079
0,marketing,"high, 174000",174000,US,2016-02-25T00:00:00Z,0.74,0.64,4,268,3,0,0,1980
0,technical,"low, 44000",44000,US,2017-08-17T00:00:00Z,0.96,0.73,3,193,3,1,0,1818
0,marketing,"low, 35000",35000,US,2017-04-28T00:00:00Z,0.79,0.83,4,250,2,0,0,242
1,sales,"medium, 79000",79000,US,2015-09-08T00:00:00Z,0.89,1,4,237,5,0,0,1899
0,IT,"medium, 62000",62000,US,2010-10-14T00:00:00Z,0.49,0.57,4,141,3,0,0,665
0,IT,"high, 138000",138000,Europe,2017-11-20T00:00:00Z,0.85,0.78,3,165,4,0,0,1989
0,sales,"low, 60000",60000,US,2012-08-02T00:00:00Z,0.99,0.7,3,219,3,0,0,1543
1,sales,"medium, 67000",67000,US,2017-10-28T00:00:00Z,0.43,0.52,2,147,3,0,0,821
0,technical,"medium, 72000",72000,US,2017-06-12T00:00:00Z,0.66,0.6,3,210,2,0,0,1495
0,marketing,"medium, 75000",75000,US,2015-03-06T00:00:00Z,0.82,0.57,2,158,3,1,0,1819
1,IT,"medium, 89000",89000,Canada,2017-01-18T00:00:00Z,0.1,0.82,6,244,4,0,0,700
0,technical,"medium, 72000",72000,US,2016-05-24T00:00:00Z,0.85,0.55,3,226,4,0,0,295
1,sales,"medium, 81000",81000,US,2017-07-03T00:00:00Z,0.44,0.48,2,148,3,0,0,1473
0,support,"medium, 84000",84000,US,2017-05-04T00:00:00Z,0.67,0.5,4,157,2,0,0,261
1,sales,"low, 59000",59000,US,2016-07-23T00:00:00Z,0.43,0.51,2,136,3,0,0,148
1,sales,"low, 42000",42000,Canada,2009-06-22T00:00:00Z,0.11,0.82,6,270,4,0,0,621
0,support,"medium, 77000",77000,Canada,2015-12-10T00:00:00Z,0.84,0.64,2,211,3,0,0,1828
1,technical,"low, 55000",55000,US,2012-10-29T00:00:00Z,0.42,0.48,2,143,3,0,0,389
0,sales,"low, 33000",33000,Europe,2009-06-29T00:00:00Z,0.74,0.98,3,166,3,1,1,211
0,sales,"medium, 89000",89000,US,2009-08-27T00:00:00Z,0.75,0.74,5,231,3,0,1,493
0,support,"medium, 75000",75000,US,2018-01-26T00:00:00Z,0.66,0.65,4,154,3,0,0,972
0,IT,"low, 47000",47000,US,2017-12-08T00:00:00Z,0.29,0.57,5,134,2,0,1,16
1,support,"low, 56000",56000,US,2017-08-17T00:00:00Z,0.11,0.84,6,298,4,0,0,1469
1,support,"low, 38000",38000,APAC,2017-11-03T00:00:00Z,0.91,1,5,251,6,0,0,212
0,sales,"low, 42000",42000,US,2012-12-04T00:00:00Z,0.67,0.55,4,256,6,0,0,1466
1,accounting,"medium, 77000",77000,US,2012-12-22T00:00:00Z,0.1,0.86,5,253,4,0,0,1438
0,support,"low, 34000",34000,US,2008-08-08T00:00:00Z,0.93,0.64,4,253,3,0,0,1886
