,salary,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,promotion_last_5years,resigned
0,52000,0.82,0.63,4,232,4,0,0,0
1,36000,0.72,0.79,4,154,3,0,0,0
2,77000,0.71,0.88,3,140,2,0,0,0
3,70000,0.53,0.75,4,239,2,1,0,0
4,76000,0.49,0.49,2,245,3,0,0,0
5,84000,0.41,0.48,2,148,3,0,0,1
6,76000,1.0,0.87,3,165,2,0,0,0
7,32000,0.09,0.97,7,268,4,0,0,1
8,174000,0.74,0.64,4,268,3,0,0,0
9,44000,0.96,0.73,3,193,3,1,0,0
10,35000,0.79,0.83,4,250,2,0,0,0
11,79000,0.89,1.0,4,237,5,0,0,1
12,62000,0.49,0.57,4,141,3,0,0,0
13,138000,0.85,0.78,3,165,4,0,0,0
14,60000,0.99,0.7,3,219,3,0,0,0
15,67000,0.43,0.52,2,147,3,0,0,1
16,72000,0.66,0.6,3,210,2,0,0,0
17,75000,0.82,0.57,2,158,3,1,0,0
18,89000,0.1,0.82,6,244,4,0,0,1
19,72000,0.85,0.55,3,226,4,0,0,0
20,81000,0.44,0.48,2,148,3,0,0,1
21,84000,0.67,0.5,4,157,2,0,0,0
22,59000,0.43,0.51,2,136,3,0,0,1
23,42000,0.11,0.82,6,270,4,0,0,1
24,77000,0.84,0.64,2,211,3,0,0,0
25,55000,0.42,0.48,2,143,3,0,0,1
26,33000,0.74,0.98,3,166,3,1,1,0
27,89000,0.75,0.74,5,231,3,0,1,0
28,75000,0.66,0.65,4,154,3,0,0,0
29,47000,0.29,0.57,5,134,2,0,1,0
30,56000,0.11,0.84,6,298,4,0,0,1
31,38000,0.91,1.0,5,251,6,0,0,1
32,42000,0.67,0.55,4,256,6,0,0,0
33,77000,0.1,0.86,5,253,4,0,0,1
34,34000,0.93,0.64,4,253,3,0,0,0
35,68000,0.38,0.59,4,276,2,0,0,0
36,76000,0.85,0.69,3,263,3,0,0,0
37,47000,0.25,0.9,6,229,8,0,0,0
38,56000,0.88,0.72,2,144,4,1,0,0
39,77000,0.51,0.75,3,234,2,1,0,0
40,81000,0.15,0.9,5,284,4,0,0,0
41,51000,0.74,0.5,4,265,3,0,0,0
42,77000,0.43,0.49,2,160,3,0,0,1
