department,region,termination_date,bracket_salary,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,promotion_last_5years,resigned
technicsl,US,06/27/2015,"low, 52000",0.82,0.63,4,232,4,0,0,0
product_mng,Europe,24/02/2017,"low, 36000",0.72,0.79,4,154,3,0,0,0
sales,Canada,06/12/2008,"medium, 77000",0.71,0.88,3,140,2,0,0,0
support,US,11/22/2015,"medium, 70000",0.53,0.75,4,239,2,1,0,0
technical,US,03/29/2009,"medium, 76000",0.49,0.49,2,245,3,0,0,0
RandD,Canada,06/02/2015,"medium, 84000",0.41,0.48,2,148,3,0,0,1
sales,US,12/11/2005,"medium, 82000",0.93,0.6,5,170,2,0,0,0
randd,US,04/01/2002,"low, 33000",0.51,0.94,4,247,2,0,0,0
sales,US,08/15/2017,"medium, 76000",1,0.87,3,165,2,0,0,0
technical,US,08/01/2014,"low, 32000",0.09,0.97,7,268,4,0,0,1
sales,US,03/21/2005,"medium, 86000",0.87,0.88,5,262,6,0,0,1
marketing,US,02/25/2016,"high, 174000",0.74,0.64,4,268,3,0,0,0
support,US,02/07/2002,"medium, 89000",0.45,0.5,5,99,4,1,0,0
technicsl,US,08/17/2017,"low, 44000",0.96,0.73,3,193,3,1,0,0
marketing,US,04/28/2017,"low, 35000",0.79,0.83,4,250,2,0,0,0
sales,US,09/08/2015,"medium, 79000",0.89,1,4,237,5,0,0,1
hr,US,07/23/2006,"medium, 67000",0.92,0.94,2,224,2,0,0,0
marketing,US,10/13/2007,"medium, 67000",0.38,0.63,2,182,2,0,0,0
IT,US,10/14/2010,"medium, 62000",0.49,0.57,4,141,3,0,0,0
sales,Canada,16/06/2005,"medium, 61000",0.66,0.81,4,148,4,0,0,0
IT,Europe,20/11/2017,"high, 138000",0.85,0.78,3,165,4,0,0,0
sales,US,08/02/2012,"low, 60000",0.99,0.7,3,219,3,0,0,0
sales,US,10/28/2017,"medium, 67000",0.43,0.52,2,147,3,0,0,1
sales,US,02/27/2005,"low, 32000",0.24,0.5,4,282,4,1,0,0
technical,US,11/24/2002,"medium, 102000",0.93,0.44,5,190,5,0,0,0
technical,US,06/12/2017,"medium, 72000",0.66,0.6,3,210,2,0,0,0
marketing,US,03/06/2015,"medium, 75000",0.82,0.57,2,158,3,1,0,0
sales,US,04/20/2002,"low, 30000",0.73,0.54,4,167,3,0,0,0
IT,Canada,18/01/2017,"medium, 89000",0.1,0.82,6,244,4,0,0,1
technical,US,05/24/2016,"medium, 72000",0.85,0.55,3,226,4,0,0,0
sales,US,07/03/2017,"medium, 81000",0.44,0.48,2,148,3,0,0,1
ssles,US,09/18/1986,"medium, 80000",0.29,0.75,6,271,10,0,0,0
support,US,05/04/2017,"medium, 84000",0.67,0.5,4,157,2,0,0,0
sales,US,07/23/2016,"low, 59000",0.43,0.51,2,136,3,0,0,1
sales,Canada,22/06/2009,"low, 42000",0.11,0.82,6,270,4,0,0,1
sales,US,01/02/2005,"low, 54000",0.91,0.67,5,137,3,0,0,0
technical,US,04/14/1988,"medium, 65000",0.58,0.43,3,194,2,1,0,0
technical,US,06/11/2002,"low, 41000",0.59,0.64,5,269,3,0,0,0
support,Canada,10/12/2015,"medium, 77000",0.84,0.64,2,211,3,0,0,0
technical,US,10/29/2012,"low, 55000",0.42,0.48,2,143,3,0,0,1
sales,Europe,29/06/2009,"low, 33000",0.74,0.98,3,166,3,1,1,0
sales,US,08/27/2009,"medium, 89000",0.75,0.74,5,231,3,0,1,0
support,US,01/26/2018,"medium, 75000",0.66,0.65,4,154,3,0,0,0
sales,US,08/14/2005,"medium, 87000",0.99,0.62,4,140,2,1,0,0
IT,US,12/08/2017,"low, 47000",0.29,0.57,5,134,2,0,1,0
product_mng,Canada,13/02/2002,"low, 51000",0.45,0.49,2,134,3,0,0,1
accounting,US,04/09/2007,"low, 42000",0.59,0.41,4,139,3,0,0,0
support,US,08/17/2017,"low, 56000",0.11,0.84,6,298,4,0,0,1
support,APAC,03/11/2017,"low, 38000",0.91,1,5,251,6,0,0,1
sales,US,12/04/2012,"low, 42000",0.67,0.55,4,256,6,0,0,0
sales,US,06/27/2003,"low, 37000",0.71,0.37,2,179,5,0,1,0
sales,US,01/22/2006,"medium, 68000",0.72,0.75,3,166,3,0,1,0
accounting,US,12/22/2012,"medium, 77000",0.1,0.86,5,253,4,0,0,1
support,US,08/08/2008,"low, 34000",0.93,0.64,4,253,3,0,0,0
sales,APAC,12/12/2016,"medium, 68000",0.38,0.59,4,276,2,0,0,0
IT,US,11/19/2017,"medium, 76000",0.85,0.69,3,263,3,0,0,0
support,Canada,13/07/2006,"low, 49000",0.79,0.93,5,160,4,1,0,0
IT,US,06/07/2004,"medium, 68000",0.6,0.68,4,271,4,0,0,0
technical,Canada,15/10/2006,"medium, 75000",0.52,0.9,5,176,3,0,0,0
product_mng,US,01/10/2018,"low, 47000",0.25,0.9,6,229,8,0,0,0
product_mng,US,06/03/2003,"low, 52000",0.82,0.71,3,150,3,0,0,0
technical,US,05/20/1998,"medium, 86000",0.7,0.77,4,245,2,0,0,0
sales,Europe,09/10/2009,"low, 56000",0.88,0.72,2,144,4,1,0,0
technical,APAC,19/02/1996,"medium, 85000",0.95,0.5,4,242,2,0,0,0
sales,US,11/18/2004,"medium, 75000",0.87,0.57,4,231,4,0,0,0
technical,US,10/28/2015,"medium, 77000",0.51,0.75,3,234,2,1,0,0
support,US,03/01/2005,"medium, 79000",0.59,0.72,3,182,3,0,0,0
technical,US,07/30/2016,"medium, 81000",0.15,0.9,5,284,4,0,0,0
product_mng,US,12/13/2005,"medium, 74000",0.29,0.56,5,231,6,0,0,0
support,US,03/31/2011,"low, 51000",0.74,0.5,4,265,3,0,0,0
sales,US,10/01/2003,"low, 32000",0.78,0.67,4,260,3,0,0,0
support,US,02/27/1999,"medium, 84000",0.62,0.51,4,274,2,0,0,0
hr,APAC,21/08/2005,"low, 40000",0.91,0.66,4,139,3,0,0,0
technical,US,07/13/2017,"medium, 77000",0.43,0.49,2,160,3,0,0,1
support,US,06/06/2017,"medium, 62000",0.95,0.73,3,243,3,1,0,0
accounting,US,06/17/2017,"low, 51000",0.7,0.8,4,183,2,0,0,0
management,US,01/30/1991,"medium, 81000",0.15,0.75,3,150,4,0,1,0
support,Canada,26/12/2002,"medium, 85000",0.42,0.47,4,146,3,1,0,0
technical,Europe,21/04/2017,"low, 60000",1,1,5,142,4,0,0,0
hr,Canada,07/05/2005,"medium, 75000",0.44,0.9,4,117,3,0,0,0
support,US,07/01/2009,"medium, 63000",0.88,0.53,3,188,3,0,0,0
marketing,Europe,19/05/2016,"low, 47000",0.66,0.87,4,139,3,0,0,0
support,US,03/02/2015,"high, 167000",0.84,0.87,4,246,6,0,0,1
support,Europe,20/07/2015,"low, 55000",0.76,0.69,4,253,3,0,0,0
RandD,Europe,09/01/2004,"medium, 82000",0.73,0.91,4,248,2,1,0,0
sales,Europe,21/11/2017,"medium, 73000",0.1,0.79,6,271,4,0,0,1
sales,US,03/05/2002,"medium, 75000",0.38,0.57,2,140,3,0,0,1
sales,US,10/11/2003,"medium, 75000",0.51,0.56,4,198,2,1,0,0
sales,US,09/26/2002,"low, 32000",0.11,0.84,7,310,4,0,0,1
hr,Europe,23/12/2015,"medium, 78000",0.67,0.72,4,192,3,1,0,0
sales,APAC,08/12/2001,"medium, 86000",0.83,0.73,4,157,2,0,0,0
technical,US,07/31/2004,"low, 52000",0.93,0.67,5,167,3,0,0,0
